name,altName,country,lat,lon,action,islandCrag,islandCragId
Buthiers,Fontainebleau,France,48.294998,2.43639,map,Buthiers,516d4ae7bdc0f71fdd03b6fa
Apremont,Fontainebleau,France,48.436401,2.62932,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Mäyrävuori,Tampere,Finland,61.451742,24.095035,map,Mäyrävuori,516e621c62bfea195a022054
Petit Bois,Fontainebleau,France,48.264099,2.67039,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Gåseborg,Stockholm,Sweden,59.40172,17.762361,map,Gåseborg,516e27bf62bfea195a00ff34
Vuorivaara,Joensuu,Finland,62.541857,30.265519,map,Vuorivaara,516e621c62bfea195a022013
Fjärdhundra,Västerås,Sweden,59.792894,16.983383,map,Fjärdhundra,516e27bf62bfea195a00ff4e
Cape Collinson,null,null,22.253751,114.254991,add,,
Savassona,Barcelona,Spain,41.958597,2.339101,map,Savassona,516d1ec8bdc0f71fdd023a30
"Lincoln Lake, Mt. Evans",Denver,"CO, USA",39.616929,-105.603247,add,,
Sella - Central Areas,Costa Blanca,Spain,38.619701,-0.233073,map,Sella,516d1ec8bdc0f71fdd023931
Stone Fort aka Little Rock City,Chattanooga,"TN, USA",35.248015,-85.220647,map,Stone Fort,516cf537bdc0f71fdd007536
Tuolumne Meadows,Fresno,"CA, USA",37.874853,-119.351349,map,Tuolumne Meadows,516cf537bdc0f71fdd00753a
Targasonne,Les Escaldes,Andorra,42.491341,1.971531,add,,
Fountainebleau,Fontainebleau,France,48.405309,2.6968,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Svanå,Västerås,Sweden,59.779278,16.378083,map,Svanå,516e27c062bfea195a00ffd0
Crevillent,Elx / Elche,Spain,38.246809,-0.811031,map,Crevillent,516d1ec8bdc0f71fdd0239b9
North Mountain,Hueco Tanks,"TX, USA",31.923246,-106.045446,map,Hueco Tanks,516cf537bdc0f71fdd00747f
Justøya,Kristiansand,Norway,58.21412,8.371304,add,,
Val Masino,Milan,Italy,46.217218,9.638247,add,,
Viitaniemi,Kuopio,Finland,62.901943,27.501869,add,,
Ersfjorden,Kvaløya,Norway,69.70362,18.600754,add,,
Källberga,Uppsala,Sweden,59.85918,18.006055,map,Källberga,516e27c062bfea195a00ffc2
